"","site","timestep"
"547773",9140,2007
"547775",9144,2007
"550749",5,2007
"550811",63705,2007
"550919",9146,2007
"551066",53374,2007
"551071",53858,2007
"551073",50240,2007
"551074",52265,2007
"551075",49006,2007
"551100",8574,2007
"551208",64706,2007
"551329",65726,2007
"551334",65380,2007
"551506",67770,2007
"551540",63387,2007
"551542",64517,2007
"551594",67339,2007
"551599",65343,2007
"551611",63619,2007
"551624",64086,2007
"551689",67685,2007
"552046",8594,2007
"552066",148,2007
"552515",55247,2007
"552524",55493,2007
"552660",35960,2007
"552713",1016,2007
"552833",10982,2007
"552840",10530,2007
"553086",43417,2007
"553173",55232,2007
"553225",67332,2007
"553240",66260,2007
"553422",9294,2007
"553427",10228,2007
"553428",144454,2007
"553429",144346,2007
"553509",9309,2007
"553515",9119,2007
"553519",9048,2007
"553576",64517,2007
"553583",9308,2007
"553614",63705,2007
"553624",144299,2007
"553789",64706,2007
"554087",9068,2007
"554093",8575,2007
"554099",8543,2007
"554439",64438,2007
"554524",8319,2007
"554556",147770,2007
"554560",64086,2007
"554620",65726,2007
"554911",9048,2007
"555010",9274,2007
"555066",9270,2007
"555067",9262,2007
"555280",9127,2007
"555296",9482,2007
"555402",67707,2007
"555455",51961,2007
"555472",50957,2007
"555528",51252,2007
"555543",34348,2007
"555625",8606,2007
"555646",9461,2007
"555694",9506,2007
"555699",9133,2007
"555701",8647,2007
"555702",9118,2007
"555724",9448,2007
"555730",143576,2007
"555814",9462,2007
"555855",47275,2007
"555859",52290,2007
"555864",47147,2007
"555866",9468,2007
"555870",47081,2007
"555881",51697,2007
"555936",9559,2007
"555972",9460,2007
"555990",9569,2007
"556067",65383,2007
"556162",46927,2007
"556170",46926,2007
"556173",9518,2007
"556177",65489,2007
"556193",65343,2007
"556349",63619,2007
"556379",9538,2007
"556453",9349,2007
"556476",63387,2007
"556517",9317,2007
"556525",10752,2007
"556529",9328,2007
"556539",65380,2007
"556557",9421,2007
"556588",47770,2007
"556622",50440,2007
"556718",9533,2007
"556719",9251,2007
"556772",6,2007
"556774",63498,2007
"556777",1360,2007
"556793",1026,2007
"556794",1403,2007
"556806",9427,2007
"556841",53739,2007
"556869",66155,2007
"556993",67332,2007
"556997",66624,2007
"556999",67958,2007
"557048",9264,2007
"557080",9127,2007
"557151",47261,2007
"557152",47275,2007
"557154",48429,2007
"557160",47261,2007
"557162",51252,2007
"557177",9645,2007
"557185",50294,2007
"557218",51697,2007
"557221",49651,2007
"557223",47081,2007
"557285",9590,2007
"557324",66260,2007
"557326",10752,2007
"557327",65980,2007
"557329",63499,2007
"557334",48429,2007
"557335",1452,2007
"557337",50798,2007
"557344",9515,2007
"557362",142,2007
"557399",9656,2007
"557410",5,2007
"557418",52273,2007
"557456",11,2007
"557464",47615,2007
"557470",48173,2007
"557488",47615,2007
"557528",8594,2007
"557555",50094,2007
"557560",52495,2007
"557571",52265,2007
"557583",147397,2007
"557592",50016,2007
"557598",50856,2007
"557604",49154,2007
"557805",50240,2007
"557816",9694,2007
"557824",9742,2007
"557885",11,2007
"557921",9068,2007
"557924",67685,2007
"557939",6,2007
"558001",8575,2007
"558007",148,2007
"558044",7633,2007
"558183",9416,2007
"558295",67365,2007
"558418",1016,2007
"558423",9700,2007
"558445",9676,2007
"558841",8543,2007
"558842",9705,2007
"558956",50440,2007
"559195",67816,2007
"559199",8647,2007
"559439",67707,2007
"559552",9427,2007
"559566",9476,2007
"559610",8606,2007
"559615",7,2007
"559619",46927,2007
"559632",48387,2007
"559641",52917,2007
"559658",49352,2007
"559687",34114,2007
"559714",1360,2007
"559788",85868,2007
"559790",9144,2007
"559842",43100,2007
"559843",50020,2007
"559845",144239,2007
"559847",43100,2007
"559849",43217,2007
"559860",43300,2007
"559861",53858,2007
"559866",53374,2007
"559869",53155,2007
"559871",53594,2007
"559877",50294,2007
"559922",9140,2007
"559971",1478,2007
"559972",7633,2007
"560023",9416,2007
"560026",47597,2007
"560027",51670,2007
"560028",48442,2007
"560029",50382,2007
"560033",9146,2007
